Display Name,Account Code,Account Name,Name,Security Description,Position,Underlying Equivalent Position,A:Market Value Local,Price,Expiration Date,Issuer,Is Closed
HCLT=G6 IS,ARBITRAG,209- ARBITRAGE FUND,HCL Technologies Feb26,HCLT=G6,-4,-1400,-2348220.068,1677.300049,02/24/2026,HCL Technologies Ltd,0
HDFCB=G6 IS,ARBITRAG,209- ARBITRAGE FUND,HDFC Bank Limited Feb26,HDFCB=G6,-8288,-4558400,-4252074630,932.7998047,02/24/2026,HDFC Bank Ltd,0
HDFCB=H6 IS,ARBITRAG,209- ARBITRAGE FUND,HDFC Bank Limited Mar26,HDFCB=H6,-1059,-582450,-546658333.7,938.5498047,03/30/2026,HDFC Bank Ltd,0
HMCL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Hero Motocorp Ltd Feb26,HMCL=G6,-21,-3150,-17126550,5437,02/24/2026,Hero MotoCorp Ltd,0
HNAL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,HINDUSTAN AERONA Feb26,HNAL=G6,-1532,-229800,-973938180.5,4238.199219,02/24/2026,Hindustan Aeronautics Ltd,0
HPCL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Hindustan Petrolm Feb26,HPCL=G6,-142,-287550,-129828825,451.5,02/24/2026,Hindustan Petroleum Corp Ltd,0
HUVR=G6 IS,ARBITRAG,209- ARBITRAGE FUND,HINDUSTAN UNILEV Feb26,HUVR=G6,0,0,0,2323.199951,02/24/2026,Hindustan Unilever Ltd,0
HZ=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Hindustan Zinc Ltd Feb26,HZ=G6,-394,-482650,-286452775,593.5,02/24/2026,Hindustan Zinc Ltd,0
ICICI=G6 IS,ARBITRAG,209- ARBITRAGE FUND,ICICI Bank Feb26,ICICI=G6,-3313,-2319100,-3121740170,1346.099854,02/24/2026,ICICI Bank Ltd,0
ICICI=H6 IS,ARBITRAG,209- ARBITRAGE FUND,ICICI Bank Mar26,ICICI=H6,-1403,-982100,-1330254450,1354.5,03/30/2026,ICICI Bank Ltd,0
IDEA=G6 IS,ARBITRAG,209- ARBITRAGE FUND,VODAFONE IDEA LT Feb26,IDEA=G6,-2003,-143164425,-1523269531,10.64000034,02/24/2026,Vodafone Idea Ltd,0
IDFCF=G6 IS,ARBITRAG,209- ARBITRAGE FUND,IDFC First Bank Feb26,IDFCF=G6,-300,-2782500,-226467673.3,81.38999939,02/24/2026,IDFC First Bank Ltd,0
IH=G6 IS,ARBITRAG,209- ARBITRAGE FUND,INDIAN HOTELS LTD Feb26,IH=G6,-902,-902000,-597124000,662,02/24/2026,Indian Hotels Co Ltd/The,0
